@id,addr:city,addr:postcode,addr:province,amenity,building,name,note,lon,lat,addr:housename,addr:place,address,cuisine,price,contact,old_name,outdoor_seating,shop,capacity,opening_hours,source,level,addr:housenumber,,website,diet:vegetarian,name:en,addr:floor,survey:date,contact:facebook,email,internet_access,payment:cash,check_date,contact:instagram,contact:phone
node/334473196,Tagaytay,4120,Cavite,restaurant,house,Moon Garden,Bed and Breakfast,120.9679027,14.1264269,,,"4XG9+Q52, SVD Rd, Tagaytay, 4120 Cavite",breakfast,low,@moongardentagaytay,,,,,,,,,,,,,,,,,,,,,
node/384843448,Tagaytay,,,restaurant,house,Bali Seafoods Paluto,Bali Seafoods Paluto,120.9501756,14.1018964,Maharlika East,," 4X22+M7X, Maharlika East, Tagaytay City, Cavite, Tagaytay",italian,medium,(02) 8854 0897,,,,,,,,,,,,,,,,,,,,,
node/384843453,Tagaytay,,,restaurant,,Buon Giorno,Buon Giorno,120.9497576,14.1016182,,,"185 Tagaytay-nasugbu Rd, Tagaytay, 4120 Cavite",italian,low,0932 882 2966,,,,,,,,,,,,,,,,,,,,,
node/384843462,Tagaytay,,,restaurant,,Domicillo,Domicillo,120.9497059,14.1018318,,,"Km 58 Emilio Aguinaldo Highway, Maharlika East, 2200 Tagaytay, Cavite, Calabarzon, Philippines",grill,high,@domicillodesignhotel,,,,,,,,,,,,,,,,,,,,,
node/384843468,Tagaytay,,,restaurant,,Fire Lake Grill,Fire Lake Grill,120.9500675,14.1016677,,,"Bgy, Unit 3 The Cliffhouse, Barangay, Gen. Emilio Aguinaldo Highway, Tagaytay, 4120 Cavite",grill,medium,0977 625 8556,,,,,,,,,,,,,,,,,,,,,
node/384843470,,,,restaurant,,Leslie's Terrace Garden,Leslie's Terrace Garden,120.9516329,14.102108,,,"4X22+RMG, Tagaytay - Nasugbu Hwy, Tagaytay, Cavite",desser,low,(046) 483 4271,,,,,,,,,,,,,,,,,,,,,
node/384843486,Tagaytay,,,restaurant,,Cafe Platito Atbp.,Platito,120.9497307,14.1017241,,,"4X77+R35, Cliffhouse Maharlika",coffee,high,0908 621 7255,,,,,,,,,,,,,,,,,,,,,
node/384843716,Tagaytay,4120,,restaurant,,Giligans,,120.9424018,14.0971977,Promenade,Summit Ridge,Aguinaldo Highway,filipino,low,0922 862 9313,,,,,,,,,,,,,,,,,,,,,
node/384843733,Tagaytay,,,restaurant,,Pamana,,120.9598007,14.1125389,,,Aguinaldo Highway,filipino,high,(046) 413 2461,,,,,,,,,,,,,,,,,,,,,
node/384843767,Silang,4118,,restaurant,,Treffpunk,,120.993591,14.148396,,,Santa Rosa - Tagaytay Road,european,low,0920 664 3423,,,,,,,,,,,,,,,,,,,,,
node/384843798,,,,restaurant,,Mile Hi Diner,,120.9521457,14.1027192,,,"4X32+3VV, Magallanes Dr, Tagaytay, 4120 Cavite",chinese,high,@milehi-diner,,,,,,,,,,,,,,,,,,,,,
node/402689345,Silang,4118,,restaurant,,Ming's Garden,,120.9917743,14.1460007,,,Santa Rosa - Tagaytay Road,chinese,low,0917 144 4933,,,,,,,,,,,,,,,,,,,,,
node/409507126,,,,restaurant,,Chateau Hestia Garden Restaurant,Bed and Breakfast,120.9743416,14.1450251,,,"J. Hernandez Street, Purok 5, Tagaytay 4103, Philippines",french,high,9053524636,,,,,,,,,,,,,,,,,,,,,
node/409507135,Tagaytay,4120,Cavite,restaurant,house,Amoroma,,120.9790894,14.1264002,,,Calamba Road,italian,low,@amoromaristorante,,,,,,,,,,,,,,,,,,,,,
node/660615521,,,,restaurant,,S?ntis,,120.9556988,14.1432056,,,"Km. 52, Buho, Aguinaldo Hwy, Silang, 4118 Cavite",filipino,low,(046) 414 2337,,,,,,,,,,,,,,,,,,,,,
node/829879570,,,,restaurant,,China Palace,,121.0372011,14.1457841,,,"42WP+CV4 Tagaytay Highlands, Tagaytay, Cavite",chinese,medium,0917 800 9656,,,,,,,,,,,,,,,,,,,,,
node/1008297728,,,,restaurant,,Buho Restaurant,,120.9561557,14.1353667,,,"4XP4+3GF, Aguinaldo Hwy, Silang, Cavite",filipino,low,@buho_restaurant,,,,,,,,,,,,,,,,,,,,,
node/1739411692,,,,restaurant,,Yellow Cab,,120.9507908,14.1016824,,,"National Hwy, Tagaytay, Maharlika East, Tagaytay, Cavite","Italian,pizza",medium,(046) 416-9999,,,,,,,,,,,,,,,,,,,,,
node/1964065874,Tagaytay,,,restaurant,,Bistro Ibarra,,120.9476131,14.1014867,,,"No. 130 E. Aguinaldo Highway, Maharlika East, Tagaytay City, Philippines",pizza,medium,0917 146 4387,,,,,,,,,,,,,,,,,,,,,
node/1964065892,,,,restaurant,,Joyce's Diner,,120.9473614,14.1012929,,,"Km. 58, Aguinaldo Highway, Maharlika East, Tagaytay City",filipino,high,046 4830474,,,,,,,,,,,,,,,,,,,,,
node/1964065910,Tagaytay,,,restaurant,,Shakey's Pizza,,120.942122,14.0967109,,,"Maharlika West, Robinsons Summit Ridge, Tagaytay City, Philippines",pizza,medium,0915 323 9692,,,,,,,,,,,,,,,,,,,,,
